,,CH4,SUM,,3137.49,3063.66,2988.06,2917.81,2851.51,2797.24,2746.35,2716.13,2692.61,2667.92,2642.89,2618.84,2595.84,2574.07,2555.37,2535.43,2516.05,2498.28,2476.96,2456.72,2433.3,2408.2,2384.69,2358.4,2333.41,2307.74,2281.67,2258.85,2233.76,2203.82,2170.8,2131.68,2093.62,2052.72,2016.78,1979.26,1946.56,1919.08,1890.48,1861.91,1827.85,1794.89,1758.94,1725.98,1693.03,1661.23,1633.53,1609.4,1585.59,1560.02,1533,1507.02,1480.17,1449.72,1423.96,1394.92,1367.88,1341.15,1320.52,1302.89,1285.01,1266.23,1247.58,1227.88,1208.98,1190.18,1170.69,1151.63,1132.91,1112.63,1093.17,1073.97,1054.31,1034.7,1015.35,995.54,975.94,956.77,937.33,918.12,898.89,880.52,861.24,842.74,824.32,805.96,787.84,769.48,751.07,733.48,716.26,698.43,681.16,664.37,648,631.62,615,599.6
,,CO2,SUM,,21.13,19.04,17.18,15.5,14.1,13.02,12.28,12.02,13.46,17.34,23.04,29.9,37.38,44.86,51.92,57.54,61.28,62.78,61.12,56.32,49.22,40.72,31.38,22.14,13.54,6.52,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,KYOTOGHG,SUM,,20215.88,18838.76,17697.49,18974.93,18683.56,18052.49,17781.19,17383.66,16511.29,15943.16,16400.57,15740.13,14925.46,14516.09,13874.52,13489.9,14141.61,14957.7,15555.29,14881.91,14832.3,14040.96,14088.33,13936.22,13856.38,12865.48,12483.28,13294.03,12255.1,13095.66,13096.01,12678.63,12080.12,12057.33,12583.52,11965.54,11581.18,11405.1,11053.83,10755.74,10903.23,10158.01,9824.52,9438.35,9320.42,8861.88,8683.36,8503.81,8242.84,7858.46,7624.91,7422.47,7260.28,7017.92,6865.72,6840.61,6747.26,6558.12,6260.11,6294.47,5881.12,5697.51,5584.27,5520.97,5422.29,5219.98,5021.46,4897.92,4599.4,4377.64,4319.31,4201.23,4123.34,3957.42,3996.08,3824.47,3604.45,3482.86,3415.24,3282.45,3199.53,3062.89,2999.29,2902.57,2800.13,2699.31,2641.55,2575.65,2474.98,2384.96,2340.37,2296.87,2218.1,2157.96,2037,1967.52,1905.96,1854.1
,,N2O,SUM,,1882.51,1727.52,1561.74,1400.11,1251.44,1126.58,1037.86,999.78,984.79,976.31,965.5,958.47,948.93,942.58,936.34,930.42,924.82,918.94,912.83,905.74,895.15,887.06,875.11,863.58,851.31,839.43,827.46,815.8,803.37,786.78,769.26,751.4,733.23,715.07,697.54,684.1,668.9,661.1,654.34,644.14,637.15,626.72,619.3,608.69,601.36,593.1,585.05,578.18,570.88,563.32,555.5,547.22,538.15,529.53,520.65,511.74,503.01,494.16,474.33,469.86,465.77,461.82,458.03,454,449.45,444.49,439.49,433.22,423.56,408.68,389.72,368.91,346.81,325.45,305.25,289.02,277.16,271.69,269.53,267.62,265.86,264.11,262.62,261.12,259.25,257.46,255.67,253.5,251.09,247.95,244.37,240.24,235.59,230.68,225.18,219.7,213.88,208.05
,,F-Gas,SUM,,10.56,9.52,8.59,7.75,7.05,6.51,6.14,6.01,6.73,8.67,11.52,14.95,18.69,22.43,25.96,28.77,30.64,31.39,30.56,28.16,24.61,20.36,15.69,11.07,6.77,3.26,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,PIK,Other,N2O,MtCO?e,75.1,74.2,73.61,72.71,72.12,71.22,70.33,69.73,68.84,68.24,67.35,66.45,65.86,64.96,64.37,63.47,62.58,61.98,61.09,60.49,59.6,58.71,58.11,57.22,56.62,55.73,54.83,54.24,53.34,52.75,51.85,50.96,50.36,49.47,48.87,47.98,47.08,46.49,45.59,45,44.1,43.21,42.61,41.72,41.12,40.23,39.63,38.74,37.85,37.25,36.36,35.76,34.87,33.97,33.38,32.48,31.89,30.99,30.1,29.41,28.64,27.86,27.09,26.31,25.54,24.76,23.99,23.21,22.44,21.66,20.89,20.14,19.37,18.6,17.82,17.05,16.27,15.5,14.72,13.95,13.17,12.4,11.62,10.85,10.07,9.3,8.52,7.75,6.97,6.2,5.42,4.65,3.87,3.1,2.32,1.55,0.77,0
World,PIK,Agriculture,KYOTOGHG,MtCO?e,2500,2390,2270,2160,2060,1970,1910,1880,1870,1860,1860,1860,1860,1860,1860,1850,1850,1850,1840,1820,1800,1780,1760,1740,1710,1690,1670,1650,1620,1600,1570,1540,1500,1470,1440,1420,1390,1380,1370,1360,1360,1350,1340,1340,1330,1320,1320,1310,1300,1290,1280,1270,1250,1240,1220,1200,1180,1170,1170,1150,1140,1130,1120,1100,1090,1080,1060,1050,1030,1010,991,969,946,923,901,881,862,846,832,817,803,788,774,759,744,729,714,699,684,668,653,637,620,604,587,570,554,537
World,PIK,Energy,KYOTOGHG,MtCO?e,6450,5930,5550,6340,6330,6130,6090,5950,5530,5270,5510,5190,4800,4600,4290,4100,4430,4840,5150,4840,4850,4510,4560,4520,4520,4060,3900,4330,3840,4290,4320,4150,3890,3910,4210,3930,3760,3690,3530,3390,3480,3110,2960,2780,2730,2510,2440,2350,2230,2060,1960,1870,1810,1710,1650,1650,1630,1560,1420,1420,1300,1240,1220,1210,1190,1120,1070,1030,929,873,864,844,829,771,808,763,697,659,644,609,592,555,538,510,477,450,441,422,391,371,365,361,341,335,296,285,276,273
World,PIK,Agriculture,N2O,MtCO?e,733.08,661.56,587.06,512.56,444.02,387.4,351.64,333.76,333.76,333.76,333.76,333.76,333.76,336.74,336.74,336.74,336.74,336.74,333.76,330.78,327.8,324.82,318.86,315.88,312.9,306.94,303.96,298,293.23,287.27,280.12,272.67,264.92,257.47,250.62,244.66,240.19,237.21,235.12,233.04,231.25,229.16,227.08,224.99,222.9,221.12,219.33,217.84,216.35,214.26,212.18,209.79,207.11,204.43,201.45,198.47,195.49,192.51,185.65,184.46,183.27,182.38,181.18,180.29,178.8,177.31,175.82,173.73,169.86,163.9,156.15,147.51,138.27,129.33,120.99,114.43,109.96,107.88,107.88,107.58,107.58,107.58,107.28,107.28,107.28,107.28,106.98,106.98,106.39,105.79,104.9,103.7,102.21,100.72,98.94,97.15,95.36,93.27
World,PIK,Industrial Processes and Product Use,F-Gas,MtCO?e,5.29,4.77,4.29,3.87,3.52,3.25,3.07,3.01,3.37,4.33,5.75,7.48,9.35,11.2,13,14.4,15.3,15.7,15.3,14.1,12.3,10.2,7.85,5.52,3.39,1.63,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,PIK,Waste,N2O,MtCO?e,20.5,19.01,17.49,16,14.66,13.56,12.75,12.31,12.13,11.98,11.86,11.77,11.68,11.59,11.5,11.44,11.32,11.23,11.09,10.97,10.82,10.67,10.52,10.37,10.19,10.04,9.89,9.74,9.63,9.48,9.33,9.21,9.06,8.91,8.79,8.64,8.49,8.37,8.22,8.08,7.9,7.75,7.6,7.45,7.3,7.18,7.06,6.94,6.85,6.79,6.71,6.65,6.59,6.53,6.47,6.41,6.35,6.32,6.26,6.2,6.17,6.14,6.11,6.08,6.02,5.96,5.93,5.84,5.72,5.51,5.27,4.98,4.65,4.35,4.08,3.84,3.7,3.64,3.64,3.64,3.64,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.58,3.58,3.52,3.49,3.46,3.4,3.34,3.28,3.22,3.13
World,PIK,Other,KYOTOGHG,MtCO?e,75.2,74.4,73.6,72.9,72.1,71.3,70.5,69.8,69,68.2,67.4,66.7,65.9,65.1,64.3,63.6,62.8,62,61.2,60.5,59.7,58.9,58.1,57.4,56.6,55.8,55,54.3,53.5,52.7,51.9,51.2,50.4,49.6,48.8,48.1,47.3,46.5,45.7,45,44.2,43.4,42.6,41.9,41.1,40.3,39.5,38.8,38,37.2,36.4,35.7,34.9,34.1,33.3,32.6,31.8,31,30.2,29.5,28.7,27.9,27.1,26.4,25.6,24.8,24,23.3,22.5,21.7,20.9,20.2,19.4,18.6,17.8,17.1,16.3,15.5,14.7,14,13.2,12.4,11.6,10.9,10.1,9.3,8.53,7.75,6.98,6.2,5.43,4.65,3.88,3.1,2.33,1.55,0.78,0
World,PIK,Other,CO2,MtCO?e,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0
World,PIK,Energy,N2O,MtCO?e,66.75,64.67,62.28,60.2,58.11,56.32,54.83,53.94,53.34,53.04,52.75,52.45,52.15,52.15,51.85,51.85,51.55,51.26,50.66,50.06,49.47,48.87,48.28,47.68,47.08,46.19,45.59,45.3,44.7,44.1,43.51,42.91,42.32,41.72,40.83,40.23,39.34,38.44,37.55,36.36,35.16,33.67,32.18,30.69,29.2,27.8,26.55,25.45,24.44,23.45,22.53,21.63,20.77,19.94,19.16,18.45,17.76,17.14,14.93,14.81,14.72,14.63,14.54,14.45,14.36,14.24,14.1,13.95,13.65,13.17,12.55,11.83,11.12,10.37,9.71,9.18,8.82,8.67,8.64,8.64,8.64,8.64,8.61,8.61,8.61,8.61,8.58,8.58,8.55,8.49,8.43,8.31,8.22,8.08,7.96,7.81,7.66,7.48
World,PIK,Total excluding LULUCF,CH4,MtCO?e,3125,3050,3000,2925,2850,2800,2750,2725,2700,2675,2650,2625,2600,2575,2550,2525,2525,2497.5,2477.5,2455,2432.5,2407.5,2382.5,2357.5,2332.5,2307.5,2282.5,2260,2235,2205,2170,2132.5,2092.5,2055,2015,1980,1947.5,1917.5,1890,1860,1827.5,1795,1760,1725,1692.5,1660,1632.5,1607.5,1585,1560,1532.5,1507.5,1477.5,1450,1422.5,1395,1367.5,1340,1320,1302.5,1282.5,1265,1247.5,1227.5,1210,1190,1170,1152.5,1132.5,1112.5,1092.5,1072.5,1055,1035,1015,995,975,957.5,937.5,917.5,900,880,862.5,842.5,825,805,787.5,770,752.5,732.5,715,697.5,680,665,647.5,630,615,600
World,PIK,Industrial Processes and Product Use,CH4,MtCO?e,6.85,6.7,6.55,6.4,6.25,6.13,5.95,5.8,5.6,5.38,5.15,4.93,4.7,4.48,4.28,4.08,3.9,3.78,3.65,3.55,3.45,3.35,3.28,3.2,3.13,3.05,2.98,2.93,2.85,2.8,2.75,2.7,2.68,2.63,2.58,2.53,2.47,2.41,2.32,2.21,2.08,1.93,1.78,1.63,1.49,1.35,1.23,1.13,1.05,0.97,0.89,0.82,0.75,0.69,0.63,0.58,0.53,0.5,0.32,0.31,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.2,0.19,0.18,0.17,0.16,0.15,0.14,0.14,0.13,0.12,0.11,0.11,0.1,0.09,0.09,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.02
World,PIK,Waste,KYOTOGHG,MtCO?e,464,447,430,416,402,388,376,366,357,349,340,332,324,317,310,303,297,292,286,280,274,268,263,257,252,247,241,237,233,229,225,220,216,212,209,205,201,197,194,190,187,183,180,177,174,171,168,165,162,159,157,154,152,149,147,145,143,141,137,136,134,133,131,130,129,127,126,125,123,122,120,118,117,115,114,112,111,110,109,108,107,107,106,105,104,104,103,102,101,100,99.6,98.8,98,97.2,96.3,95.4,94.6,93.8
World,PIK,Energy,CO2,MtCO?e,5450,4950,4590,5400,5400,5220,5190,5060,4650,4400,4650,4350,3980,3790,3490,3320,3650,4070,4380,4080,4100,3760,3810,3780,3770,3310,3150,3590,3100,3560,3600,3440,3190,3220,3530,3260,3110,3060,2920,2800,2910,2570,2450,2300,2270,2080,2030,1960,1860,1700,1620,1540,1490,1410,1360,1380,1370,1310,1200,1200,1080,1030,1010,1010,996,937,886,857,759,708,705,691,682,629,671,631,571,537,525,495,481,449,435,410,381,357,351,334,305,287,284,281,263,259,221,211,202,199
World,PIK,Industrial Processes and Product Use,CO2,MtCO?e,531,491,446,422,411,402,388,374,377,375,377,378,375,377,377,384,399,410,414,411,401,383,382,381,380,377,375,376,375,375,379,380,380,382,383,383,383,384,383,382,383,383,382,381,382,382,381,381,380,380,381,381,381,382,382,382,382,383,372,408,338,316,300,295,280,259,231,219,193,161,164,150,152,149,155,141,117,112,106,93.8,84.4,70.3,69.3,68.4,64,56.1,54,54.9,52.2,48.2,47.4,46.1,43.8,38.5,34.9,31.2,28.7,23.7
World,PIK,Agriculture,CH4,MtCO?e,1755,1715,1675,1635,1597.5,1565,1542.5,1530,1522.5,1517.5,1515,1515,1512.5,1512.5,1510,1510,1505,1500,1492.5,1480,1465,1450,1430,1412.5,1392.5,1375,1357.5,1340,1325,1302.5,1280,1255,1230,1205,1182.5,1162.5,1147.5,1137.5,1130,1125,1120,1115,1110,1105,1100,1095,1092.5,1087.5,1082.5,1075,1065,1055,1042.5,1030,1015,1000,985,970,977.5,967.5,955,945,932.5,920,910,897.5,885,872.5,860,845,832.5,820,805,792.5,780,765,750,737.5,722.5,707.5,695,680,665,650,635,622.5,607.5,592.5,577.5,562.5,547.5,532.5,517.5,502.5,487.5,472.5,457.5,442.5
World,PIK,Total excluding LULUCF,KYOTOGHG,MtCO?e,10100,9420,8850,9490,9340,9030,8890,8690,8260,7970,8200,7870,7460,7260,6940,6740,7070,7480,7780,7440,7420,7020,7040,6970,6930,6430,6240,6650,6130,6550,6550,6340,6040,6030,6290,5980,5790,5700,5530,5380,5450,5080,4910,4720,4660,4430,4340,4250,4120,3930,3810,3710,3630,3510,3430,3420,3370,3280,3130,3150,2940,2850,2790,2760,2710,2610,2510,2450,2300,2190,2160,2100,2060,1980,2000,1910,1800,1740,1710,1640,1600,1530,1500,1450,1400,1350,1320,1290,1240,1190,1170,1150,1110,1080,1020,984,953,927
World,PIK,Other,CH4,MtCO?e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,PIK,Agriculture,CO2,MtCO?e,13.4,12.2,10.6,14.2,14.7,13.9,14.2,14.2,12.4,11.7,11.9,10.8,10,9.44,8.7,8.25,9.04,9.89,10.7,9.81,9.75,8.93,8.81,8.71,8.28,7.66,7.41,7.99,6.49,8.08,8.57,8.38,7.81,8.09,9.14,8.53,7.98,7.77,7.47,7.29,7.29,6.5,6.12,5.79,5.66,5.27,5.19,4.98,4.73,4.39,4.14,3.93,3.77,3.54,3.45,3.38,3.35,3.2,2.94,2.85,2.59,2.48,2.42,2.36,2.3,2.15,2.03,1.97,1.78,1.66,1.61,1.59,1.47,1.36,1.42,1.33,1.2,1.11,1.07,1.01,0.96,0.88,0.85,0.79,0.72,0.67,0.63,0.58,0.54,0.53,0.51,0.49,0.46,0.43,0.37,0.35,0.32,0.31
World,PIK,Total excluding LULUCF,F-Gas,MtCO?e,5.29,4.77,4.29,3.87,3.52,3.25,3.07,3.01,3.37,4.33,5.75,7.48,9.35,11.2,13,14.4,15.3,15.7,15.3,14.1,12.3,10.2,7.85,5.52,3.39,1.63,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,PIK,Industrial Processes and Product Use,KYOTOGHG,MtCO?e,620,575,525,497,482,469,451,433,432,426,425,423,417,416,414,419,432,442,444,439,426,404,400,395,390,384,380,381,379,379,383,384,384,385,387,386,387,387,386,385,385,386,385,384,384,384,383,383,381,382,382,382,382,382,383,383,383,383,372,408,338,316,300,295,280,259,232,220,194,161,164,150,152,149,156,141,117,112,106,94,84.5,70.4,69.5,68.6,64.1,56.3,54.1,55,52.3,48.4,47.5,46.2,43.9,38.6,35,31.3,28.8,23.8
World,PIK,Energy,CH4,MtCO?e,935,917.5,900,885,870,857.5,845,835,825,812.5,800,787.5,772.5,760,745,735,725,717.5,712.5,710,705,705,702.5,700,700,697.5,695,692.5,690,682.5,677.5,667.5,657.5,647.5,635,622.5,607.5,592.5,575,555,532.5,505,480,452.5,427.5,402.5,382.5,365,350,335,320,305,292.5,280,267.5,257.5,247.5,238.5,212.25,206.5,200.75,195,189.5,184,178.25,172.75,167.5,162,156.75,151.75,146.5,141.5,136.5,131.75,127,122.5,118,113.75,109.75,105.5,101.75,98,94.5,91.25,88,85,82.25,79.5,77,75,73,71.25,69.75,68.25,67.25,66.5,66,65.75
World,PIK,Industrial Processes and Product Use,N2O,MtCO?e,46.19,43.51,40.83,38.44,36.06,33.67,31.29,28.46,25.36,21.84,18.12,14.33,10.67,7.3,4.35,2.05,0.55,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,PIK,Total excluding LULUCF,N2O,MtCO?e,941.68,864.2,780.76,700.3,625.8,563.22,518.52,500.64,491.7,488.72,482.76,479.78,473.82,470.84,467.86,464.88,461.9,458.92,455.94,452.96,447,444.02,438.06,432.1,426.14,420.18,414.22,408.26,402.3,393.36,384.42,375.48,366.54,357.6,348.66,342.7,333.76,330.78,327.8,321.84,318.86,312.9,309.92,303.96,300.98,296.51,292.64,289.06,285.48,281.61,277.74,273.56,269.09,264.92,260.45,255.98,251.51,247.04,237.21,234.82,233.04,230.95,229.16,227.08,224.69,222.31,219.63,216.65,211.88,204.43,194.89,184.46,173.44,162.71,152.58,144.53,138.57,135.89,134.7,133.8,132.91,132.01,131.42,130.52,129.63,128.74,127.84,126.65,125.46,123.97,122.18,120.09,117.71,115.33,112.64,109.96,106.98,104
World,PIK,Waste,CH4,MtCO?e,440,422.5,407.5,395,380,367.5,355,345,337.5,330,322.5,315,307.5,300,292.5,287.5,280,275,270,262.5,257.5,252.5,247,241.75,236.75,231.75,227.25,223,218.75,214.75,211,207,203.25,199.5,196,192.25,189,185.5,182.25,179,175.75,172.5,169.5,166.5,163.5,160.75,158,155.5,152.75,150.5,148,145.5,143.25,141,138.75,136.75,134.5,132.75,129.5,128,126.75,125.25,124,122.75,121.25,120,118.75,117.5,116.25,115,113.5,112.25,111,109.75,108.5,107.5,106.5,105.5,104.5,103.75,103,102.25,101.5,100.75,100,99.5,98.75,98,97,96.25,95.5,94.75,94,93.25,92.5,91.75,91,90.25
World,PIK,Waste,CO2,MtCO?e,5.01,4.21,4.42,6.51,7.32,7.16,7.47,7.63,6.96,7.05,6.97,6.43,6.03,5.87,5.44,4.95,5.23,5.73,6.07,5.71,5.75,5.09,5.42,5.34,5.03,4.67,4.16,4.74,4.42,4.29,4.34,4,3.69,3.97,4.33,3.97,3.82,3.58,3.52,3.47,3.37,3.17,2.95,2.88,2.79,2.65,2.61,2.52,2.37,2.28,2.12,2.03,1.96,1.9,1.69,1.75,1.76,1.7,1.6,1.52,1.44,1.36,1.36,1.37,1.4,1.33,1.29,1.25,1.13,1.09,1.07,1.08,1.07,1,1.02,0.96,0.86,0.83,0.86,0.82,0.82,0.8,0.76,0.72,0.67,0.65,0.64,0.6,0.55,0.52,0.52,0.52,0.49,0.48,0.41,0.38,0.37,0.38
World,PIK,Total excluding LULUCF,CO2,MtCO?e,6000,5460,5050,5840,5830,5640,5600,5450,5050,4790,5050,4750,4370,4180,3890,3720,4070,4490,4820,4510,4510,4150,4210,4170,4160,3700,3540,3980,3490,3950,3990,3830,3580,3610,3930,3660,3510,3450,3310,3190,3300,2970,2840,2690,2660,2470,2420,2350,2250,2090,2000,1930,1880,1800,1750,1770,1750,1690,1570,1610,1420,1350,1320,1310,1280,1200,1120,1080,955,871,872,843,836,781,829,775,690,650,633,590,567,521,506,480,446,414,406,390,358,337,332,328,308,298,256,243,231,224
